"pictureID","pathWhereItsNotFound","newPath"
36097,images/912/36097.tif,images/910/36097.tif
36097,previews/912/36097_s.jpeg,previews/8/36097_s.jpeg
36353,previews/1212/36353_s.jpeg,previews/1166/36353_s.jpeg
36353,thumbnails/1212/36353_t.jpeg,thumbnails/1166/36353_t.jpeg
36353,previews/1212/36353_s.jpeg,previews/8/36353_s.jpeg
36353,thumbnails/1212/36353_t.jpeg,thumbnails/8/36353_t.jpeg
36353,images/1212/36353.tif,images/1166/36353.tif
36609,images/1512/36609.tif,images/1422/36609.tif
36609,previews/1512/36609_s.jpeg,previews/1422/36609_s.jpeg
36609,thumbnails/1512/36609_t.jpeg,thumbnails/1422/36609_t.jpeg
36609,thumbnails/1512/36609_t.jpeg,thumbnails/8/36609_t.jpeg
36609,previews/1512/36609_s.jpeg,previews/8/36609_s.jpeg
36865,thumbnails/1713/36865_t.jpeg,thumbnails/8/36865_t.jpeg
36865,images/1713/36865.tif,images/1678/36865.tif
36865,previews/1713/36865_s.jpeg,previews/8/36865_s.jpeg
36865,previews/1713/36865_s.jpeg,previews/1678/36865_s.jpeg
36865,thumbnails/1713/36865_t.jpeg,thumbnails/1678/36865_t.jpeg
37121,previews/2013/37121_s.jpeg,previews/1934/37121_s.jpeg
37121,thumbnails/2013/37121_t.jpeg,thumbnails/8/37121_t.jpeg
37121,images/2013/37121.tif,images/1934/37121.tif
37121,thumbnails/2013/37121_t.jpeg,thumbnails/1934/37121_t.jpeg
37121,previews/2013/37121_s.jpeg,previews/8/37121_s.jpeg
37377,previews/2213/37377_s.jpeg,previews/8/37377_s.jpeg
37377,previews/2213/37377_s.jpeg,previews/2190/37377_s.jpeg
37377,thumbnails/2213/37377_t.jpeg,thumbnails/2190/37377_t.jpeg
37377,images/2213/37377.tif,images/2190/37377.tif
37377,thumbnails/2213/37377_t.jpeg,thumbnails/8/37377_t.jpeg
37633,previews/2481/37633_s.jpeg,previews/2446/37633_s.jpeg
37633,images/2481/37633.tif,images/2446/37633.tif
37633,thumbnails/2481/37633_t.jpeg,thumbnails/9/37633_t.jpeg
37633,previews/2481/37633_s.jpeg,previews/9/37633_s.jpeg
37633,thumbnails/2481/37633_t.jpeg,thumbnails/2446/37633_t.jpeg
37889,previews/2713/37889_s.jpeg,previews/2702/37889_s.jpeg
37889,thumbnails/2713/37889_t.jpeg,thumbnails/9/37889_t.jpeg
37889,previews/2713/37889_s.jpeg,previews/9/37889_s.jpeg
37889,thumbnails/2713/37889_t.jpeg,thumbnails/2702/37889_t.jpeg
37889,images/2713/37889.tif,images/2702/37889.tif
38145,thumbnails/3013/38145_t.jpeg,thumbnails/2958/38145_t.jpeg
38145,thumbnails/3013/38145_t.jpeg,thumbnails/9/38145_t.jpeg
38145,previews/3013/38145_s.jpeg,previews/2958/38145_s.jpeg
38145,images/3013/38145.tif,images/2958/38145.tif
38145,previews/3013/38145_s.jpeg,previews/9/38145_s.jpeg
38401,thumbnails/3262/38401_t.jpeg,thumbnails/9/38401_t.jpeg
38401,previews/3262/38401_s.jpeg,previews/9/38401_s.jpeg
38401,thumbnails/3262/38401_t.jpeg,thumbnails/3214/38401_t.jpeg
38401,previews/3262/38401_s.jpeg,previews/3214/38401_s.jpeg
38401,images/3262/38401.tif,images/3214/38401.tif
38657,thumbnails/3513/38657_t.jpeg,thumbnails/3470/38657_t.jpeg
38657,thumbnails/3513/38657_t.jpeg,thumbnails/9/38657_t.jpeg
38657,previews/3513/38657_s.jpeg,previews/9/38657_s.jpeg
38657,images/3513/38657.tif,images/3470/38657.tif
38657,previews/3513/38657_s.jpeg,previews/3470/38657_s.jpeg
69634,images/25/69634.tif,images/0/69634.tif
27906,images/91/27906.tif,images/0/27906.tif
27906,thumbnails/91/27906_t.jpeg,thumbnails/0/27906_t.jpeg
27906,previews/91/27906_s.jpeg,previews/0/27906_s.jpeg
27906,thumbnails/91/27906_t.jpeg,thumbnails/4/27906_t.jpeg
27906,previews/91/27906_s.jpeg,previews/4/27906_s.jpeg
28162,thumbnails/291/28162_t.jpeg,thumbnails/4/28162_t.jpeg
28162,images/291/28162.tif,images/254/28162.tif
28162,previews/291/28162_s.jpeg,previews/254/28162_s.jpeg
28162,previews/291/28162_s.jpeg,previews/4/28162_s.jpeg
28162,thumbnails/291/28162_t.jpeg,thumbnails/254/28162_t.jpeg
35586,images/412/35586.tif,images/399/35586.tif
35586,thumbnails/412/35586_t.jpeg,thumbnails/399/35586_t.jpeg
35586,previews/412/35586_s.jpeg,previews/399/35586_s.jpeg
35586,previews/412/35586_s.jpeg,previews/7/35586_s.jpeg
35586,thumbnails/412/35586_t.jpeg,thumbnails/7/35586_t.jpeg
35842,images/712/35842.tif,images/655/35842.tif
35842,previews/712/35842_s.jpeg,previews/8/35842_s.jpeg
35842,previews/712/35842_s.jpeg,previews/655/35842_s.jpeg
35842,thumbnails/712/35842_t.jpeg,thumbnails/655/35842_t.jpeg
35842,thumbnails/712/35842_t.jpeg,thumbnails/8/35842_t.jpeg
36098,thumbnails/912/36098_t.jpeg,thumbnails/911/36098_t.jpeg
36098,images/912/36098.tif,images/911/36098.tif
36098,previews/912/36098_s.jpeg,previews/911/36098_s.jpeg
